ï»¿Booking date,Value date,Voucher number,Text,Amount,Balance,Category
2025-03-03,2025-03-01,5484617188,LA NETA CITY/25-02-27,-130.0,8216.28,Other
2025-03-03,2025-03-01,5484336154,ICA LAPPKARR/25-02-28,-14.9,8346.28,Groceries
2025-03-03,2025-03-01,5484336139,ICA LAPPKARR/25-02-28,-48.9,8361.18,Groceries
2025-03-03,2025-03-01,5484807100,ODENLAB VIDA/25-02-28,-329.0,8410.08,Other
2025-02-28,2025-02-28,5490990789,46727798758,-20.0,8739.08,Other
2025-02-28,2025-02-28,5484030773,VETEKATTEN K/25-02-27,-92.0,8759.08,Other
2025-02-27,2025-02-27,5490990789,46761522279,-25.0,8851.08,Other
2025-02-27,2025-02-27,5484614993,WOLT        /25-02-26,-199.5,8876.08,Other
2025-02-27,2025-02-27,5490990789,46722450295,48.0,9075.58,Other
2025-02-27,2025-02-27,5490990733,ENKLA VARDAG,-50.0,9027.58,Other
2025-02-26,2025-02-26,5490990004,52673768661,-600.0,9077.58,Other
2025-02-26,2025-02-26,5490990004,52673768661,-4400.0,9677.58,Other
2025-02-26,2025-02-26,5484660591,TRANSFERWISE/25-02-25,-202.2,14077.58,Other
2025-02-26,2025-02-26,5484355145,ICA LAPPKARR/25-02-25,-48.9,14279.78,Groceries
2025-02-26,2025-02-26,5484355124,ICA LAPPKARR/25-02-25,-34.9,14328.68,Groceries
2025-02-26,2025-02-26,5056900011,STIFT  STOCKHOLMS STUDEN,-4381.0,14363.58,Other
2025-02-25,2025-02-25,5484815348,ICA LAPPKARR/25-02-24,-135.9,18744.58,Groceries
2025-02-24,2025-02-24,5484093481,WOLT        /25-02-23,-199.5,18880.48,Other
2025-02-24,2025-02-23,5484221202,PASADENA    /25-02-22,-256.07,19079.98,Other
2025-02-24,2025-02-22,5484471492,WOLT        /25-02-21,-250.74,19336.05,Other
2025-02-20,2025-02-20,5484316498,POWER SOURCE/25-02-19,-119.0,19586.79,Other
2025-02-20,2025-02-20,5484866654,ICA LAPPKARR/25-02-19,-57.23,19705.79,Groceries
2025-02-20,2025-02-20,5484866642,ICA LAPPKARR/25-02-19,-106.7,19763.02,Groceries
2025-02-20,2025-02-20,5490990789,46733251396,-4000.0,19869.72,Other
2025-02-20,2025-02-20,5841990687,H20525898662,21000.0,23869.72,Other
2025-02-18,2025-02-18,5484092917,AMSTERDAM   /25-02-17,-2242.38,2869.72,Other
2025-02-18,2025-02-18,5484773263,WOLT        /25-02-17,-260.74,5112.1,Other
2025-02-17,2025-02-17,5490990789,46733251397,-200.0,5372.84,Other
2025-02-17,2025-02-17,5490990789,46730529560,-310.0,5572.84,Other
2025-02-17,2025-02-17,5841990687,H17525709913,5800.0,5882.84,Other
2025-02-17,2025-02-16,5484808056,GOOGLE  YOUT/25-02-14,-95.0,82.84,Other
2025-02-17,2025-02-16,5484577549,TRANSFERWISE/25-02-15,-190.07,177.84,Other
2025-02-17,2025-02-16,5484858702,ICA LAPPKARR/25-02-15,-55.0,367.91,Groceries
2025-02-17,2025-02-16,5484858701,ICA LAPPKARR/25-02-15,-62.9,422.91,Groceries
2025-02-17,2025-02-15,5490990789,46733251397,200.0,485.81,Other
2025-02-17,2025-02-15,5484455761,SSP S A  - A/25-02-14,-149.13,285.81,Other
2025-02-10,2025-02-08,5484799051,ARLANDA EXPR/25-02-08,160.0,434.94,Other
2025-02-10,2025-02-08,5484687667,ZETTLE  ARLA/25-02-07,-340.0,274.94,Other
2025-02-10,2025-02-08,5484260097,WHSMITH T5B /25-02-07,-43.0,614.94,Other
2025-02-10,2025-02-08,5484724267,ICA LAPPKARR/25-02-07,-20.0,657.94,Groceries
2025-02-07,2025-02-07,5484019101,PRESSBYRAN 4/25-02-06,-51.0,677.94,Other
2025-02-07,2025-02-07,5484640075,GENTLEMEN S /25-02-06,-850.0,728.94,Other
2025-02-07,2025-02-07,5484227520,ICA LAPPKARR/25-02-06,-20.9,1578.94,Groceries
2025-02-07,2025-02-07,5484700164,LILLEBRORS B/25-02-06,-232.0,1599.84,Other
2025-02-07,2025-02-07,5484621850,ARLANDA EXPR/25-02-07,-160.0,1831.84,Other
2025-02-07,2025-02-07,5490990789,46730529560,400.0,1991.84,Other
2025-02-07,2025-02-07,5490990789,AB STORSTOCK,-43.0,1591.84,Other
2025-02-06,2025-02-06,5490990789,AB STORSTOCK,26.0,1634.84,Other
2025-02-06,2025-02-06,5490990789,AB STORSTOCK,26.0,1608.84,Other
2025-02-06,2025-02-06,5490990789,AB STORSTOCK,-26.0,1582.84,Other
2025-02-06,2025-02-06,5490990789,AB STORSTOCK,-26.0,1608.84,Other
2025-02-06,2025-02-06,9900000100,104008199280,413.64,1634.84,Other
2025-02-06,2025-02-06,5490990004,HARSHDEEPSIN,2.13,1221.2,Other
2025-02-04,2025-02-04,5484038819,PROFESSORN R/25-02-03,-155.0,1219.07,Other
2025-02-04,2025-02-04,5484652436,ICA LAPPKARR/25-02-03,-115.7,1374.07,Groceries
2025-02-03,2025-02-03,5034900010,STIFT  STOCKHOLMS STUDEN,-4381.0,1489.77,Other
2025-02-03,2025-02-02,5490990789,46733251396,4000.0,5870.77,Other
2025-02-03,2025-02-02,5484807322,HALLON      /25-02-02,-113.95,1870.77,Other
2025-02-03,2025-02-01,5484870784,WOLT        /25-01-31,-69.0,1984.72,Other
2025-02-03,2025-02-01,5484811517,WOLT        /25-01-31,-289.3,2053.72,Other
2025-01-31,2025-01-31,5484141295,ICA LAPPKARR/25-01-30,-48.9,2343.02,Groceries
2025-01-30,2025-01-30,5490990733,ENKLA VARDAG,-50.0,2391.92,Other
2025-01-27,2025-01-27,5484510145,ICA LAPPKARR/25-01-26,-118.6,2441.92,Groceries
2025-01-27,2025-01-25,5484538766,UBER     EAT/25-01-24,-278.0,2560.52,Transport
2025-01-27,2025-01-25,5490990789,46734808895,-25.0,2838.52,Other
2025-01-24,2025-01-24,5484530828,PRESSBYRAN 4/25-01-23,-51.0,2863.52,Other
2025-01-24,2025-01-24,5484371809,TOKYO RAMEN /25-01-23,-159.0,2914.52,Other
2025-01-24,2025-01-24,5484708240,ICA LAPPKARR/25-01-23,-41.9,3073.52,Groceries
2025-01-24,2025-01-24,5484301669,ODENLAB VIDA/25-01-23,-229.0,3115.42,Other
2025-01-23,2025-01-23,5484331138,SAN FRANCISC/25-01-22,-262.99,3344.42,Other
2025-01-23,2025-01-23,5490990789,46769760859,-20.0,3607.41,Other
2025-01-21,2025-01-21,5484051080,ICA LAPPKARR/25-01-20,-48.9,3627.41,Groceries
2025-01-20,2025-01-20,5484605111,ICA LAPPKARR/25-01-19,-27.8,3676.31,Groceries
2025-01-20,2025-01-20,5484262779,RABAT       /25-01-19,-906.54,3704.11,Other
2025-01-20,2025-01-18,5484586075,ICA LAPPKARR/25-01-17,-48.9,4610.65,Groceries
2025-01-17,2025-01-17,5484481509,PHOTOFUN    /25-01-16,-52.99,4659.55,Other
2025-01-17,2025-01-17,5484039911,NORMAL STOCK/25-01-16,-296.0,4712.54,Other
2025-01-16,2025-01-16,5484707361,PRESSBYRAN 4/25-01-16,-19.0,5008.54,Other
2025-01-16,2025-01-16,5490990789,AB STORSTOCK,-26.0,5027.54,Other
2025-01-15,2025-01-15,5484010947,GOOGLE  YOUT/25-01-14,-95.0,5053.54,Other
2025-01-15,2025-01-15,5484492694,ICA LAPPKARR/25-01-14,-39.8,5148.54,Groceries
2025-01-15,2025-01-15,5484492666,ICA LAPPKARR/25-01-14,-70.9,5188.34,Groceries
2025-01-14,2025-01-14,5484550012,ICA LAPPKARR/25-01-13,-119.5,5259.24,Groceries
2025-01-14,2025-01-14,5484549969,ICA LAPPKARR/25-01-13,-53.9,5378.74,Groceries
2025-01-13,2025-01-13,5490990789,46727634172,-30.0,5432.64,Other
2025-01-13,2025-01-12,5484386125,PRESSBYRAN 4/25-01-11,-26.0,5462.64,Other
2025-01-13,2025-01-12,5484611295,ICA LAPPKARR/25-01-11,-48.9,5488.64,Groceries
2025-01-13,2025-01-11,5484701005,GRAND STOCKH/25-01-10,-155.0,5537.54,Other
2025-01-13,2025-01-11,5484685820,PROFESSORN R/25-01-10,-45.0,5692.54,Other
2025-01-13,2025-01-11,5484685819,PROFESSORN R/25-01-10,-90.0,5737.54,Other
2025-01-13,2025-01-11,5490990789,46769701543,-20.0,5827.54,Other
2025-01-10,2025-01-10,5484047798,ICA LAPPKARR/25-01-09,-24.86,5847.54,Groceries
2025-01-10,2025-01-10,5484047779,ICA LAPPKARR/25-01-09,-129.13,5872.4,Groceries
2025-01-09,2025-01-09,5484404082,ICA LAPPKARR/25-01-08,-58.03,6001.53,Groceries
2025-01-09,2025-01-09,5484404046,ICA LAPPKARR/25-01-08,-133.4,6059.56,Groceries
2025-01-09,2025-01-09,5484287284,CLAS OHLSON /25-01-08,-119.9,6192.96,Other
2025-01-08,2025-01-08,5484100954,HIMALAYAN TH/25-01-07,-365.0,6312.86,Other
2025-01-08,2025-01-08,5490990789,46769517944,-20.0,6677.86,Other
2025-01-07,2025-01-07,5490990789,46734930020,-20.0,6697.86,Other
2025-01-07,2025-01-07,5484031572,ICA LAPPKARR/25-01-06,-48.9,6717.86,Groceries
2025-01-07,2025-01-07,5007900009,STIFT  STOCKHOLMS STUDEN,-4381.0,6766.76,Other
2025-01-07,2025-01-06,5490990789,46761522279,-20.0,11147.76,Other
2025-01-07,2025-01-06,5484791754,STORA COOP V/25-01-05,-29.9,11167.76,Groceries
2025-01-07,2025-01-06,5484686153,ICA LAPPKARR/25-01-05,-191.56,11197.66,Groceries
2025-01-07,2025-01-06,5490990789,AB STORSTOCK,-42.0,11389.22,Other
2025-01-07,2025-01-05,5484711453,MAX BURGERS /25-01-05,-131.0,11431.22,Restaurants
2025-01-07,2025-01-04,5490990789,46733251396,-1503.0,11562.22,Other
2025-01-07,2025-01-04,5490990789,46733251396,6500.0,13065.22,Other
2025-01-07,2025-01-04,5490990789,46733251396,6500.0,6565.22,Other
2025-01-02,2025-01-02,5484562870,HALLON      /25-01-02,-109.4,65.22,Other
2025-01-02,2025-01-02,5484215214,ICA LAPPKARR/25-01-01,-25.9,174.62,Groceries
2025-01-02,2025-01-01,5484840779,ICA LAPPKARR/24-12-31,-71.0,200.52,Groceries
2025-01-02,2025-01-01,5484840778,ICA LAPPKARR/24-12-31,-20.8,271.52,Groceries
2025-01-02,2025-01-01,5484840767,ICA LAPPKARR/24-12-31,-52.7,292.32,Groceries
2025-01-02,2025-01-01,5490990789,AB STORSTOCK,-26.0,345.02,Other
2025-01-02,2024-12-31,5490990789,AB STORSTOCK,-26.0,371.02,Other
2025-01-02,2024-12-31,5484357842,IKEA GAVLE I/24-12-30,-64.0,397.02,Shopping
2025-01-02,2024-12-31,5484243380,MCD UPPSALA /24-12-30,-90.0,461.02,Other
2025-01-02,2024-12-31,5484803949,ICA LAPPKARR/24-12-30,-37.8,551.02,Groceries
2024-12-30,2024-12-31,0000000000,RÃNTA,0.72,588.82,Other
2024-12-30,2024-12-29,5484223422,MAX BURGERS /24-12-28,-88.0,588.1,Restaurants
2024-12-30,2024-12-29,5484287544,ICA LAPPKARR/24-12-28,-23.9,676.1,Groceries
2024-12-30,2024-12-29,5484287525,ICA LAPPKARR/24-12-28,-28.5,700.0,Groceries
2024-12-30,2024-12-28,5490990789,46727795497,-25.0,728.5,Other
2024-12-30,2024-12-28,5490990789,46764422936,-146.0,753.5,Other
2024-12-30,2024-12-28,5484514754,DE TECLA AB /24-12-27,-96.0,899.5,Other
2024-12-30,2024-12-28,5484345001,REVOLUT  798/24-12-27,-120.0,995.5,Other
2024-12-30,2024-12-28,5484100397,ICA LAPPKARR/24-12-27,-102.7,1115.5,Groceries
2024-12-27,2024-12-27,5490990733,ENKLA VARDAG,-50.0,1218.2,Other
2024-12-27,2024-12-26,5484464397,ICA LAPPKARR/24-12-25,-221.4,1268.2,Groceries
2024-12-27,2024-12-26,5490990789,46733251396,1000.0,1489.6,Other
2024-12-23,2024-12-23,5484011088,SAN FRANCISC/24-12-22,-263.35,489.6,Other
2024-12-23,2024-12-23,5484053060,ICA LAPPKARR/24-12-22,-138.6,752.95,Groceries
2024-12-23,2024-12-23,5490990789,46734983392,-14.0,891.55,Other
2024-12-23,2024-12-22,5484149860,ICA LAPPKARR/24-12-21,-90.7,905.55,Groceries
2024-12-23,2024-12-21,5484474347,RYANAIR00000/24-12-19,-683.38,996.25,Other
2024-12-23,2024-12-21,5484474243,DUBLIN      /24-12-19,-356.99,1679.63,Other
2024-12-23,2024-12-21,5484344915,UNIQLO KINGS/24-12-20,-1098.0,2036.62,Other
2024-12-23,2024-12-21,5484514580,GENTLEMEN S /24-12-20,-850.0,3134.62,Other
2024-12-23,2024-12-21,5484377719,PROFESSORN R/24-12-20,-180.0,3984.62,Other
2024-12-23,2024-12-21,5484170075,OOB SVEAVAGE/24-12-20,-84.0,4164.62,Other
2024-12-20,2024-12-20,5490990789,46736344968,220.0,4248.62,Other
2024-12-20,2024-12-20,5490990789,46736344968,-220.0,4028.62,Other
2024-12-20,2024-12-20,5490990789,46769701543,-25.0,4248.62,Other
2024-12-19,2024-12-19,5484746743,ICA LAPPKARR/24-12-18,-79.68,4273.62,Groceries
2024-12-17,2024-12-17,5484370811,ALIEXPRESS C/24-12-16,-384.95,4353.3,Other
2024-12-16,2024-12-16,5484833789,ICA LAPPKARR/24-12-15,-55.8,4738.25,Groceries
2024-12-16,2024-12-15,5484554702,GOOGLE  YOUT/24-12-14,-95.0,4794.05,Other
2024-12-16,2024-12-15,5484052455,HIMALAYA LIV/24-12-13,-193.91,4889.05,Other
2024-12-16,2024-12-15,5490990789,46734788363,-205.0,5082.96,Other
2024-12-16,2024-12-15,5490990789,46769627063,-36.0,5287.96,Other
2024-12-16,2024-12-14,5490990789,46734922722,-30.0,5323.96,Other
2024-12-16,2024-12-14,5484156446,TRANSFERWISE/24-12-14,-202.2,5353.96,Other
2024-12-16,2024-12-14,5484188517,THE ENGLISH /24-12-13,-40.0,5556.16,Other
2024-12-16,2024-12-14,5484079880,ICA LAPPKARR/24-12-13,-47.5,5596.16,Groceries
2024-12-16,2024-12-14,5484079861,ICA LAPPKARR/24-12-13,-20.0,5643.66,Groceries
2024-12-13,2024-12-13,5484827601,WOLT        /24-12-12,-187.63,5663.66,Other
2024-12-13,2024-12-13,5484799551,ICA LAPPKARR/24-12-12,-57.8,5851.29,Groceries
2024-12-13,2024-12-13,5484799523,ICA LAPPKARR/24-12-12,-54.7,5909.09,Groceries
2024-12-12,2024-12-12,5484499744,ICA LAPPKARR/24-12-11,-113.8,5963.79,Groceries
2024-12-10,2024-12-10,5484451567,ICA LAPPKARR/24-12-09,-203.09,6077.59,Groceries
2024-12-09,2024-12-09,5484449797,CAFE SCHWEIZ/24-12-08,-124.0,6280.68,Other
2024-12-09,2024-12-07,5484022595,POWER SOURCE/24-12-06,-248.0,6404.68,Other
2024-12-09,2024-12-07,5484268085,ICA LAPPKARR/24-12-06,-59.7,6652.68,Groceries
2024-12-06,2024-12-06,5484878575,HIMALAYA LIV/24-12-04,-181.91,6712.38,Other
2024-12-05,2024-12-05,5484863829,REVOLUT  798/24-12-04,-120.0,6894.29,Other
2024-12-05,2024-12-05,5484491924,ICA LAPPKARR/24-12-04,-20.0,7014.29,Groceries
2024-12-04,2024-12-04,5484599513,POWER SOURCE/24-12-03,-119.0,7034.29,Other
2024-12-04,2024-12-04,5484246937,ICA LAPPKARR/24-12-03,-20.0,7153.29,Groceries
2024-12-04,2024-12-04,5490990789,46769771524,-25.0,7173.29,Other
2024-12-04,2024-12-04,5490990789,AB STORSTOCK,-42.0,7198.29,Other
2024-12-03,2024-12-03,5490990789,46761584268,-30.0,7240.29,Other
2024-12-02,2024-12-02,5490990789,46734922722,-20.0,7270.29,Other
2024-12-02,2024-12-02,5484351154,HALLON      /24-12-02,-110.5,7290.29,Other
2024-12-02,2024-12-02,5484451246,ICA LAPPKARR/24-12-01,-209.7,7400.79,Groceries
2024-12-02,2024-12-01,5484382931,BAPSANG AB  /24-11-30,-685.0,7610.49,Other
2024-12-02,2024-12-01,5484275958,ZETTLE  DROP/24-11-30,-42.0,8295.49,Other
2024-12-02,2024-12-01,5484236592,HIMALAYA LIV/24-11-29,-82.97,8337.49,Other
2024-12-02,2024-12-01,5484258356,HEMKOP STOCK/24-11-30,-110.85,8420.46,Other
2024-12-02,2024-11-30,5484626764,PRESSBYRAN 4/24-11-29,-26.0,8531.31,Other
2024-12-02,2024-11-30,5484428619,ICA LAPPKARR/24-11-29,-10.71,8557.31,Groceries
2024-12-02,2024-11-30,5490990789,46734983392,-30.0,8568.02,Other
2024-12-02,2024-11-30,5490990789,46736344968,437.5,8598.02,Other
2024-11-29,2024-11-29,5484826589,ICA LAPPKARR/24-11-28,-66.03,8160.52,Groceries
2024-11-29,2024-11-29,5490990789,46724445660,-30.0,8226.55,Other
2024-11-28,2024-11-28,5490990733,ENKLA VARDAG,-50.0,8256.55,Other
2024-11-27,2024-11-27,5484172399,ICA LAPPKARR/24-11-26,-211.6,8306.55,Groceries
2024-11-25,2024-11-25,5490990789,46733251397,3000.0,8518.15,Other
2024-11-25,2024-11-24,5484804135,MAX BURGERS /24-11-23,-49.0,5518.15,Restaurants
2024-11-25,2024-11-24,5484391669,FALLOUMI    /24-11-23,-105.0,5567.15,Other
2024-11-25,2024-11-23,5484523385,SAN FRANCISC/24-11-22,-266.17,5672.15,Other
2024-11-25,2024-11-23,5484132865,PROFESSORN R/24-11-22,-155.0,5938.32,Other
2024-11-25,2024-11-23,5484209262,DE TECLA AB /24-11-23,-123.0,6093.32,Other
2024-11-25,2024-11-23,5490990789,46734930020,-30.0,6216.32,Other
2024-11-22,2024-11-22,5484774746,ICA LAPPKARR/24-11-21,-132.51,6246.32,Groceries
2024-11-21,2024-11-21,5484784496,PROFESSORN R/24-11-20,-155.0,6378.83,Other
2024-11-20,2024-11-20,5484472189,ICA LAPPKARR/24-11-19,-20.0,6533.83,Groceries
2024-11-20,2024-11-20,5484472183,ICA LAPPKARR/24-11-19,-53.9,6553.83,Groceries
2024-11-19,2024-11-19,5484470594,SUBWAY ODENP/24-11-18,-153.0,6607.73,Other
2024-11-19,2024-11-19,5484838666,ICA LAPPKARR/24-11-18,-20.0,6760.73,Groceries
2024-11-19,2024-11-19,5490990789,46724445347,-15.0,6780.73,Other
2024-11-19,2024-11-19,5490990789,115 KULTURFÃ,-140.0,6795.73,Other
2024-11-19,2024-11-19,5490990163,AUT17:06,-100.0,6935.73,Other
2024-11-18,2024-11-18,5490990789,46734983392,-10.0,7035.73,Other
2024-11-18,2024-11-18,5484354617,PROFESSORN R/24-11-17,-134.0,7045.73,Other
2024-11-18,2024-11-18,5484135588,ICA LAPPKARR/24-11-17,-65.9,7179.73,Groceries
2024-11-18,2024-11-18,4323900008,STIFT  STOCKHOLMS STUDEN,-4381.0,7245.63,Other
2024-11-18,2024-11-17,5484262657,REVOLUT  798/24-11-16,-300.0,11626.63,Other
2024-11-18,2024-11-17,5484744639,WISE        /24-11-17,-202.2,11926.63,Other
2024-11-18,2024-11-17,5484652567,UBER     EAT/24-11-15,-235.5,12128.83,Transport
2024-11-18,2024-11-17,5484282448,ICA LAPPKARR/24-11-16,-12.0,12364.33,Groceries
2024-11-18,2024-11-16,5490990789,46733251397,8000.0,12376.33,Other
2024-11-15,2024-11-15,5484327939,GOOGLE  YOUT/24-11-14,-95.0,4376.33,Other
2024-11-15,2024-11-15,5484233416,7-ELEVEN DRO/24-11-14,-59.0,4471.33,Other
2024-11-15,2024-11-15,5484592268,LA NETA     /24-11-14,-287.0,4530.33,Other
2024-11-15,2024-11-15,5484534411,VETEKATTEN K/24-11-14,-48.0,4817.33,Other
2024-11-15,2024-11-15,5484366777,ICA LAPPKARR/24-11-14,-13.9,4865.33,Groceries
2024-11-14,2024-11-14,5490990789,46767488455,-20.0,4879.23,Other
2024-11-14,2024-11-14,5490990789,46724415386,34.0,4899.23,Other
2024-11-14,2024-11-14,5484402306,ICA LAPPKARR/24-11-13,-126.6,4865.23,Groceries
2024-11-14,2024-11-14,5490990789,46724415386,141.0,4991.83,Other
2024-11-13,2024-11-13,5484472525,ICA LAPPKARR/24-11-12,-33.9,4850.83,Groceries
2024-11-11,2024-11-11,5484769612,ICA LAPPKARR/24-11-10,-90.8,4884.73,Groceries
2024-11-11,2024-11-10,5484100264,PRESSBYRAN 4/24-11-09,-26.0,4975.53,Other
2024-11-11,2024-11-10,5484643515,INDIAN STREE/24-11-09,-304.0,5001.53,Other
2024-11-11,2024-11-10,5484852485,ICA LAPPKARR/24-11-09,-13.9,5305.53,Groceries
2024-11-11,2024-11-09,5490990789,46733251396,49.0,5319.43,Other
2024-11-11,2024-11-09,5490990789,MAX BURGERS,-98.0,5270.43,Restaurants
2024-11-11,2024-11-09,5484749475,WOLT        /24-11-08,-194.63,5368.43,Other
2024-11-11,2024-11-09,5490990789,TEKNISKA HÃG,-365.0,5563.06,Other
2024-11-11,2024-11-09,5490990789,INTRUM SVERI,-4572.49,5928.06,Other
2024-11-08,2024-11-08,5490990789,46733251397,10000.0,10500.55,Other
2024-11-08,2024-11-08,5484724327,ICA LAPPKARR/24-11-07,-20.0,500.55,Groceries
2024-11-07,2024-11-07,5484688814,ICA LAPPKARR/24-11-06,-116.71,520.55,Groceries
2024-11-06,2024-11-06,5484319729,ICA LAPPKARR/24-11-05,-23.8,637.26,Groceries
2024-11-04,2024-11-04,5484340435,ICA LAPPKARR/24-11-02,-196.3,661.06,Groceries
2024-11-04,2024-11-03,5490990789,46764364349,-25.0,857.36,Other
2024-11-04,2024-11-02,5484265056,HALLON      /24-11-02,-109.35,882.36,Other
2024-11-01,2024-11-01,5484874849,WOLT        /24-10-31,-192.93,991.71,Other
2024-10-31,2024-10-31,5484832991,ICA LAPPKARR/24-10-30,-75.7,1184.64,Groceries
2024-10-30,2024-10-30,5484416306,WOLT        /24-10-29,-199.75,1260.34,Other
2024-10-30,2024-10-30,5484549239,ICA LAPPKARR/24-10-29,-61.4,1460.09,Groceries
2024-10-30,2024-10-30,5490990733,ENKLA VARDAG,-50.0,1521.49,Other
2024-10-29,2024-10-29,5484598292,MAX BURGERS /24-10-28,-103.0,1571.49,Restaurants
2024-10-29,2024-10-29,5484566151,PRESSBYRAN 4/24-10-28,-52.0,1674.49,Other
2024-10-28,2024-10-28,5484568980,ICA LAPPKARR/24-10-27,-19.9,1726.49,Groceries
2024-10-28,2024-10-28,5484568978,ICA LAPPKARR/24-10-27,-144.7,1746.39,Groceries
2024-10-28,2024-10-27,5490990789,46769752949,-49.0,1891.09,Other
2024-10-28,2024-10-27,5490990789,46734996563,-25.0,1940.09,Other
2024-10-28,2024-10-27,5484446494,WOLT        /24-10-26,-218.03,1965.09,Other
2024-10-28,2024-10-27,5484674811,ICA LAPPKARR/24-10-26,-75.5,2183.12,Groceries
2024-10-28,2024-10-26,5484466405,ICA LAPPKARR/24-10-25,-13.9,2258.62,Groceries
2024-10-28,2024-10-26,5484466388,ICA LAPPKARR/24-10-25,-20.0,2272.52,Groceries
2024-10-25,2024-10-25,5490990789,46793255306,-45.75,2292.52,Other
2024-10-24,2024-10-24,5484045412,PRESSBYRAN 4/24-10-23,-26.0,2338.27,Other
2024-10-24,2024-10-24,5484129410,ICA LAPPKARR/24-10-23,-47.5,2364.27,Groceries
2024-10-23,2024-10-23,5490990789,491737066968,-25.0,2411.77,Other
2024-10-23,2024-10-23,5484256381,ICA LAPPKARR/24-10-22,-13.9,2436.77,Groceries
2024-10-23,2024-10-23,5484739463,SAN FRANCISC/24-10-22,-262.02,2450.67,Other
2024-10-22,2024-10-22,5484208495,PRESSBYRAN 4/24-10-21,-26.0,2712.69,Other
2024-10-21,2024-10-21,5490990789,46724445660,-19.0,2738.69,Other
2024-10-21,2024-10-20,5484747825,7-ELEVEN HOR/24-10-19,-50.0,2757.69,Other
2024-10-21,2024-10-20,5484557555,GENTLEMEN S /24-10-19,-850.0,2807.69,Other
2024-10-21,2024-10-20,5484531362,ICA LAPPKARR/24-10-19,-70.94,3657.69,Groceries
2024-10-21,2024-10-20,5484362687,ZETTLE  CAFE/24-10-19,-88.0,3728.63,Other
2024-10-21,2024-10-19,5484684837,WOLT        /24-10-18,-209.75,3816.63,Other
2024-10-21,2024-10-19,5484801030,ICA LAPPKARR/24-10-18,-28.0,4026.38,Groceries
2024-10-21,2024-10-19,5484801008,ICA LAPPKARR/24-10-18,-20.0,4054.38,Groceries
2024-10-21,2024-10-19,5490990789,46761522279,-30.0,4074.38,Other
2024-10-17,2024-10-17,5484444437,PRESSBYRAN 4/24-10-16,-50.0,4104.38,Other
2024-10-17,2024-10-17,5484442036,PRESSBYRAN 4/24-10-16,-66.0,4154.38,Other
2024-10-17,2024-10-17,5484594817,ICA LAPPKARR/24-10-16,-26.9,4220.38,Groceries
2024-10-16,2024-10-16,5490990163,AUT20:35 INS,500.0,4247.28,Other
2024-10-16,2024-10-16,5484056248,ICA LAPPKARR/24-10-15,-210.72,3747.28,Groceries
2024-10-16,2024-10-16,5490990789,AB STORSTOCK,-26.0,3958.0,Other
2024-10-16,2024-10-16,5490990789,AB STORSTOCK,-26.0,3984.0,Other
2024-10-15,2024-10-15,5484750172,REVOLUT  798/24-10-14,-120.0,4010.0,Other
